f, a0, b0, c0, d0
41.50,-2.565807e+00,2.870583e-02,-6.484371e-04,-1.357585e-03
42.00,-2.568853e+00,2.872124e-02,-6.498328e-04,-1.372215e-03
42.50,-2.571379e+00,2.873430e-02,-6.512490e-04,-1.386455e-03
43.00,-2.573279e+00,2.874452e-02,-6.526856e-04,-1.400218e-03
43.50,-2.574421e+00,2.875133e-02,-6.541420e-04,-1.413402e-03
44.00,-2.574641e+00,2.875398e-02,-6.556169e-04,-1.425886e-03
44.50,-2.573729e+00,2.875154e-02,-6.571084e-04,-1.437523e-03
45.00,-2.571417e+00,2.874281e-02,-6.586126e-04,-1.448142e-03
45.50,-2.567355e+00,2.872624e-02,-6.601237e-04,-1.457533e-03
46.00,-2.561074e+00,2.869975e-02,-6.616317e-04,-1.465444e-03
46.50,-2.551933e+00,2.866051e-02,-6.631205e-04,-1.471570e-03
47.00,-2.539025e+00,2.860452e-02,-6.645626e-04,-1.475542e-03
47.50,-2.521017e+00,2.852592e-02,-6.659091e-04,-1.476919e-03
48.00,-2.495838e+00,2.841564e-02,-6.670666e-04,-1.475172e-03
48.50,-2.460026e+00,2.825847e-02,-6.678321e-04,-1.469660e-03
49.00,-2.407158e+00,2.802601e-02,-6.676717e-04,-1.459266e-03
49.50,-2.323643e+00,2.765616e-02,-6.646817e-04,-1.438567e-03
50.00,-2.181135e+00,2.700265e-02,-6.497764e-04,-1.354873e-03
50.50,-1.965792e+00,2.597955e-02,-6.115973e-04,-9.553682e-04
51.00,-1.680298e+00,2.465202e-02,-5.616553e-04,-2.626463e-04
51.50,-1.325805e+00,2.355260e-02,-6.127006e-04,1.014900e-03
52.00,-1.127561e+00,2.199826e-02,-3.966258e-04,2.428849e-03
52.50,-1.001601e+00,2.124219e-02,-2.582798e-04,4.283698e-03
53.00,-9.929553e-01,2.125811e-02,-1.291180e-04,6.155893e-03
53.50,-1.080925e+00,2.194315e-02,9.481092e-06,7.793931e-03
54.00,-1.262827e+00,2.318681e-02,1.824770e-04,9.094853e-03
54.50,-1.549949e+00,2.491395e-02,4.046114e-04,9.962579e-03
55.00,-1.952223e+00,2.718364e-02,6.617421e-04,1.033374e-02
55.50,-2.458929e+00,3.057316e-02,8.542458e-04,1.047960e-02
56.00,-2.937370e+00,3.780958e-02,3.847081e-04,1.261644e-02
56.50,-3.699205e+00,4.443758e-02,1.431234e-04,1.230486e-02
57.00,-3.952374e+00,5.616177e-02,-1.196402e-03,1.047189e-02
57.50,-5.606724e+00,5.398343e-02,1.658197e-04,1.047172e-02
58.00,-6.552047e+00,5.292149e-02,1.071884e-03,9.371301e-03
58.50,-8.170526e+00,7.771400e-02,-1.846478e-03,1.894238e-02
59.00,-7.778674e+00,6.400148e-02,1.828318e-05,1.177257e-02
59.50,-8.314003e+00,7.218434e-02,-1.005851e-03,1.512400e-02
60.00,-7.941512e+00,6.119364e-02,7.491215e-04,1.028247e-02
60.50,-8.966847e+00,8.310091e-02,-2.064151e-03,1.990403e-02
61.00,-7.075476e+00,5.862327e-02,5.221299e-04,1.062754e-02
61.50,-6.304405e+00,5.030268e-02,1.363858e-03,8.793175e-03
62.00,-5.921686e+00,5.091546e-02,1.141461e-03,1.080601e-02
62.50,-3.953507e+00,7.374585e-02,-3.471873e-03,2.267021e-02
63.00,-3.042355e-01,5.772609e-02,-3.975279e-03,1.375382e-02
63.50,-2.157185e+00,3.570960e-02,1.976093e-04,8.726418e-03
64.00,-2.008556e+00,2.978140e-02,5.043695e-04,9.707864e-03
64.50,-1.808407e+00,2.641403e-02,5.209082e-04,1.027974e-02
65.00,-1.612850e+00,2.410110e-02,4.404320e-04,1.020648e-02
65.50,-1.431610e+00,2.243931e-02,3.098257e-04,9.558947e-03
66.00,-1.264377e+00,2.129235e-02,1.576192e-04,8.394907e-03
66.50,-1.128323e+00,2.067409e-02,-4.675878e-06,6.746646e-03
67.00,-1.069759e+00,2.072630e-02,-1.774089e-04,4.705404e-03
