f, av, bv, cv, dv
43.50,2.187885e-02,9.654830e-05,-7.711450e-05,9.625238e-06
44.00,2.235639e-02,9.867384e-05,-7.879724e-05,9.792302e-06
44.50,2.284048e-02,1.008271e-04,-8.050274e-05,9.963037e-06
45.00,2.333105e-02,1.030079e-04,-8.223082e-05,1.013734e-05
45.50,2.382805e-02,1.052161e-04,-8.398130e-05,1.031513e-05
46.00,2.433143e-02,1.074516e-04,-8.575402e-05,1.049631e-05
46.50,2.484113e-02,1.097143e-04,-8.754886e-05,1.068082e-05
47.00,2.535712e-02,1.120042e-04,-8.936566e-05,1.086859e-05
47.50,2.587934e-02,1.143210e-04,-9.120431e-05,1.105955e-05
48.00,2.640777e-02,1.166648e-04,-9.306469e-05,1.125365e-05
48.50,2.694237e-02,1.190355e-04,-9.494668e-05,1.145085e-05
49.00,2.748311e-02,1.214330e-04,-9.685017e-05,1.165109e-05
49.50,2.802995e-02,1.238573e-04,-9.877505e-05,1.185434e-05
50.00,2.858285e-02,1.263084e-04,-1.007212e-04,1.206056e-05
50.50,2.914180e-02,1.287863e-04,-1.026886e-04,1.226971e-05
51.00,2.970675e-02,1.312909e-04,-1.046770e-04,1.248176e-05
51.50,3.027767e-02,1.338222e-04,-1.066864e-04,1.269669e-05
52.00,3.085453e-02,1.363804e-04,-1.087166e-04,1.291447e-05
52.50,3.143728e-02,1.389653e-04,-1.107676e-04,1.313508e-05
53.00,3.202590e-02,1.415771e-04,-1.128391e-04,1.335851e-05
53.50,3.262034e-02,1.442158e-04,-1.149310e-04,1.358473e-05
54.00,3.322054e-02,1.468815e-04,-1.170431e-04,1.381373e-05
54.50,3.382645e-02,1.495743e-04,-1.191752e-04,1.404550e-05
55.00,3.443801e-02,1.522944e-04,-1.213272e-04,1.428004e-05
55.50,3.505513e-02,1.550419e-04,-1.234985e-04,1.451733e-05
56.00,3.567773e-02,1.578170e-04,-1.256891e-04,1.475738e-05
56.50,3.630571e-02,1.606199e-04,-1.278984e-04,1.500018e-05
57.00,3.693891e-02,1.634511e-04,-1.301259e-04,1.524575e-05
57.50,3.757720e-02,1.663107e-04,-1.323710e-04,1.549408e-05
58.00,3.822037e-02,1.691992e-04,-1.346330e-04,1.574518e-05
58.50,3.886818e-02,1.721172e-04,-1.369109e-04,1.599909e-05
59.00,3.952032e-02,1.750653e-04,-1.392035e-04,1.625580e-05
59.50,4.017640e-02,1.780443e-04,-1.415092e-04,1.651534e-05
60.00,4.083593e-02,1.810550e-04,-1.438260e-04,1.677774e-05
60.50,4.149827e-02,1.840985e-04,-1.461514e-04,1.704302e-05
61.00,4.216259e-02,1.871761e-04,-1.484817e-04,1.731118e-05
61.50,4.282780e-02,1.902891e-04,-1.508125e-04,1.758224e-05
62.00,4.349246e-02,1.934390e-04,-1.531373e-04,1.785612e-05
62.50,4.415465e-02,1.966272e-04,-1.554475e-04,1.813269e-05
63.00,4.481182e-02,1.998547e-04,-1.577311e-04,1.841165e-05
63.50,4.546060e-02,2.031210e-04,-1.599714e-04,1.869233e-05
64.00,4.609661e-02,2.064234e-04,-1.621452e-04,1.897350e-05
64.50,4.671445e-02,2.097543e-04,-1.642207e-04,1.925278e-05
65.00,4.730814e-02,2.130984e-04,-1.661564e-04,1.952583e-05
65.50,4.787294e-02,2.164306e-04,-1.679043e-04,1.978520e-05
66.00,4.840998e-02,2.197205e-04,-1.694257e-04,2.001951e-05
66.50,4.893502e-02,2.229544e-04,-1.707379e-04,2.021608e-05
67.00,4.948715e-02,2.261750e-04,-1.720053e-04,2.037532e-05
67.50,5.011963e-02,2.294756e-04,-1.736323e-04,2.054439e-05
68.00,5.085849e-02,2.328712e-04,-1.761191e-04,2.082301e-05
68.50,5.170488e-02,2.363477e-04,-1.795603e-04,2.123339e-05
69.00,5.265372e-02,2.399296e-04,-1.835608e-04,2.168127e-05
69.50,5.365552e-02,2.435222e-04,-1.876634e-04,2.210178e-05
70.00,5.466395e-02,2.470579e-04,-1.916318e-04,2.248371e-05
70.50,5.565466e-02,2.505349e-04,-1.954017e-04,2.283677e-05
71.00,5.662081e-02,2.539810e-04,-1.989887e-04,2.317259e-05
71.50,5.756409e-02,2.574249e-04,-2.024317e-04,2.349959e-05
72.00,5.848905e-02,2.608864e-04,-2.057693e-04,2.382296e-05
72.50,5.940056e-02,2.643772e-04,-2.090333e-04,2.414571e-05
73.00,6.030281e-02,2.679028e-04,-2.122477e-04,2.446950e-05
73.50,6.119922e-02,2.714654e-04,-2.154302e-04,2.479526e-05
74.00,6.209241e-02,2.750653e-04,-2.185938e-04,2.512346e-05
74.50,6.298444e-02,2.787019e-04,-2.217482e-04,2.545435e-05
75.00,6.387685e-02,2.823740e-04,-2.249003e-04,2.578805e-05
75.50,6.477086e-02,2.860807e-04,-2.280554e-04,2.612461e-05
76.00,6.566739e-02,2.898209e-04,-2.312175e-04,2.646404e-05
76.50,6.656717e-02,2.935934e-04,-2.343897e-04,2.680634e-05
77.00,6.747077e-02,2.973976e-04,-2.375744e-04,2.715150e-05
77.50,6.837864e-02,3.012325e-04,-2.407733e-04,2.749950e-05
78.00,6.929116e-02,3.050977e-04,-2.439879e-04,2.785032e-05
78.50,7.020862e-02,3.089925e-04,-2.472195e-04,2.820394e-05
79.00,7.113127e-02,3.129166e-04,-2.504690e-04,2.856035e-05
79.50,7.205930e-02,3.168694e-04,-2.537371e-04,2.891955e-05
80.00,7.299288e-02,3.208507e-04,-2.570246e-04,2.928151e-05
80.50,7.393217e-02,3.248601e-04,-2.603319e-04,2.964624e-05
81.00,7.487727e-02,3.288976e-04,-2.636596e-04,3.001373e-05
81.50,7.582830e-02,3.329628e-04,-2.670079e-04,3.038398e-05
82.00,7.678534e-02,3.370556e-04,-2.703774e-04,3.075698e-05
82.50,7.774847e-02,3.411759e-04,-2.737682e-04,3.113273e-05
83.00,7.871778e-02,3.453236e-04,-2.771807e-04,3.151123e-05
83.50,7.969331e-02,3.494985e-04,-2.806150e-04,3.189249e-05
84.00,8.067513e-02,3.537005e-04,-2.840714e-04,3.227652e-05
84.50,8.166328e-02,3.579296e-04,-2.875501e-04,3.266330e-05
85.00,8.265783e-02,3.621858e-04,-2.910513e-04,3.305285e-05
85.50,8.365881e-02,3.664690e-04,-2.945750e-04,3.344517e-05
86.00,8.466626e-02,3.707791e-04,-2.981215e-04,3.384028e-05
86.50,8.568023e-02,3.751161e-04,-3.016909e-04,3.423817e-05
87.00,8.670075e-02,3.794801e-04,-3.052834e-04,3.463885e-05
87.50,8.772786e-02,3.838709e-04,-3.088990e-04,3.504234e-05
88.00,8.876159e-02,3.882885e-04,-3.125380e-04,3.544863e-05
88.50,8.980198e-02,3.927331e-04,-3.162004e-04,3.585775e-05
89.00,9.084907e-02,3.972045e-04,-3.198863e-04,3.626970e-05
89.50,9.190287e-02,4.017027e-04,-3.235958e-04,3.668448e-05
90.00,9.296343e-02,4.062278e-04,-3.273292e-04,3.710212e-05
